instance,seed,population_size,elite_percentage,mutants_percentage,num_independent_populations,edges,best_cost,opt,src,total_iterations,last_update_iteration,total_time,last_update_time,path_relink_time,path_relink_calls,num_improvements_elite,num_improvements_best
queen7_7,492929,200,0.15,0.3,3,476.0,8,7.0,SGB,1123,123,14.86,1.94,0.2,5,2,0
queen7_7,593929,200,0.15,0.3,3,476.0,7,7.0,SGB,2073,1073,27.55,14.62,0.84,10,3,0
queen7_7,593929,200,0.15,0.3,3,476.0,7,7.0,SGB,2073,1073,27.55,14.62,0.84,10,3,0
queen7_7,593929,200,0.15,0.3,3,476.0,7,7.0,SGB,2073,1073,27.55,14.62,0.84,10,3,0
queen8_12,298329,200,0.15,0.3,3,1368.0,13,12.0,SGB,1001,1,69.6,0.06,7.49,5,1,0
queen8_12,298329,200,0.15,0.3,3,1368.0,13,12.0,SGB,1001,1,69.6,0.06,7.49,5,1,0
queen8_12,298329,200,0.15,0.3,3,1368.0,13,12.0,SGB,1001,1,69.6,0.06,7.49,5,1,0
queen8_12,394149,200,0.15,0.3,3,1368.0,13,12.0,SGB,1002,2,69.33,0.47,7.41,5,1,0
queen8_12,394149,200,0.15,0.3,3,1368.0,13,12.0,SGB,1002,2,69.33,0.47,7.41,5,1,0
queen8_12,394149,200,0.15,0.3,3,1368.0,13,12.0,SGB,1002,2,69.33,0.47,7.41,5,1,0
queen8_12,492929,200,0.15,0.3,3,1368.0,13,12.0,SGB,1005,5,74.21,0.67,8.25,5,1,0
queen8_12,492929,200,0.15,0.3,3,1368.0,13,12.0,SGB,1005,5,74.21,0.67,8.25,5,1,0
queen8_12,492929,200,0.15,0.3,3,1368.0,13,12.0,SGB,1005,5,74.21,0.67,8.25,5,1,0
queen8_12,593929,200,0.15,0.3,3,1368.0,13,12.0,SGB,1006,6,73.74,0.75,7.52,5,1,0
queen8_12,593929,200,0.15,0.3,3,1368.0,13,12.0,SGB,1006,6,73.74,0.75,7.52,5,1,0
queen8_12,593929,200,0.15,0.3,3,1368.0,13,12.0,SGB,1006,6,73.74,0.75,7.52,5,1,0
queen8_8,298329,200,0.15,0.3,3,728.0,10,9.0,SGB,1001,1,28.32,0.03,2.02,5,1,0
queen8_8,298329,200,0.15,0.3,3,728.0,10,9.0,SGB,1001,1,28.32,0.03,2.02,5,1,0
queen8_8,298329,200,0.15,0.3,3,728.0,10,9.0,SGB,1001,1,28.32,0.03,2.02,5,1,0
queen8_8,394149,200,0.15,0.3,3,728.0,10,9.0,SGB,1019,19,29.74,0.85,2.14,5,1,0
queen8_8,394149,200,0.15,0.3,3,728.0,10,9.0,SGB,1019,19,29.74,0.85,2.14,5,1,0
queen8_8,394149,200,0.15,0.3,3,728.0,10,9.0,SGB,1019,19,29.74,0.85,2.14,5,1,0
queen8_8,492929,200,0.15,0.3,3,728.0,10,9.0,SGB,1003,3,27.6,0.41,1.92,5,1,0
queen8_8,492929,200,0.15,0.3,3,728.0,10,9.0,SGB,1003,3,27.6,0.41,1.92,5,1,0
queen8_8,492929,200,0.15,0.3,3,728.0,10,9.0,SGB,1003,3,27.6,0.41,1.92,5,1,0
queen8_8,593929,200,0.15,0.3,3,728.0,10,9.0,SGB,1004,4,29.0,0.44,2.19,5,1,0
queen8_8,593929,200,0.15,0.3,3,728.0,10,9.0,SGB,1004,4,29.0,0.44,2.19,5,1,0
queen8_8,593929,200,0.15,0.3,3,728.0,10,9.0,SGB,1004,4,29.0,0.44,2.19,5,1,0
queen9_9,298329,200,0.15,0.3,3,2112.0,11,10.0,SGB,1727,727,82.71,35.31,5.98,8,1,0
queen9_9,298329,200,0.15,0.3,3,2112.0,11,10.0,SGB,1727,727,82.71,35.31,5.98,8,1,0
queen9_9,298329,200,0.15,0.3,3,2112.0,11,10.0,SGB,1727,727,82.71,35.31,5.98,8,1,0
queen9_9,394149,200,0.15,0.3,3,2112.0,11,10.0,SGB,1075,75,51.9,3.81,4.57,5,2,0
queen9_9,394149,200,0.15,0.3,3,2112.0,11,10.0,SGB,1075,75,51.9,3.81,4.57,5,2,0
queen9_9,394149,200,0.15,0.3,3,2112.0,11,10.0,SGB,1075,75,51.9,3.81,4.57,5,2,0
queen9_9,492929,200,0.15,0.3,3,2112.0,11,10.0,SGB,1033,33,50.59,2.0,4.55,5,3,0
queen9_9,492929,200,0.15,0.3,3,2112.0,11,10.0,SGB,1033,33,50.59,2.0,4.55,5,3,0
queen9_9,492929,200,0.15,0.3,3,2112.0,11,10.0,SGB,1033,33,50.59,2.0,4.55,5,3,0
queen9_9,593929,200,0.15,0.3,3,2112.0,11,10.0,SGB,1320,320,64.11,14.87,5.37,6,3,0
queen9_9,593929,200,0.15,0.3,3,2112.0,11,10.0,SGB,1320,320,64.11,14.87,5.37,6,3,0
queen9_9,593929,200,0.15,0.3,3,2112.0,11,10.0,SGB,1320,320,64.11,14.87,5.37,6,3,0
zeroin.i.1,298329,200,0.15,0.3,3,4100.0,49,49.0,REG,1001,1,393.82,0.34,68.43,5,0,0
zeroin.i.1,394149,200,0.15,0.3,3,4100.0,49,49.0,REG,1001,1,438.15,0.27,83.39,5,0,0
zeroin.i.1,492929,200,0.15,0.3,3,4100.0,49,49.0,REG,1001,1,469.4,0.38,82.36,5,0,0
zeroin.i.1,593929,200,0.15,0.3,3,4100.0,49,49.0,REG,1001,1,475.04,0.38,81.62,5,0,0
zeroin.i.2,298329,200,0.15,0.3,3,3541.0,30,30.0,REG,1001,1,342.59,0.32,61.05,5,0,0
zeroin.i.2,394149,200,0.15,0.3,3,3541.0,30,30.0,REG,1001,1,265.89,0.21,47.03,5,0,0
zeroin.i.2,492929,200,0.15,0.3,3,3541.0,30,30.0,REG,1001,1,291.12,0.25,52.11,5,0,0
zeroin.i.2,593929,200,0.15,0.3,3,3541.0,30,30.0,REG,1001,1,259.67,0.22,48.65,5,0,0
zeroin.i.3,298329,200,0.15,0.3,3,3540.0,30,30.0,REG,1001,1,249.05,0.2,43.02,5,0,0
zeroin.i.3,394149,200,0.15,0.3,3,3540.0,30,30.0,REG,1001,1,273.33,0.22,48.65,5,0,0
zeroin.i.3,492929,200,0.15,0.3,3,3540.0,30,30.0,REG,1001,1,265.68,0.2,48.82,5,0,0
zeroin.i.3,593929,200,0.15,0.3,3,3540.0,30,30.0,REG,1001,1,358.8,0.28,66.49,5,0,0
